CATALOG_KEY,NOMBRE,RELACION,SUBCATEGORIA,CLAVE_CAPITULO,CAPITULO,NO. CARACTERES
A40,SEPSIS ESTREPTOCÓCICA,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,3
A400,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO A",CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A401,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO B",CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A402,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO D Y ENTEROCOCO",CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A403,SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A408,OTRAS SEPSIS ESTREPTOCÓCICAS,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A409,"SEPSIS ESTREPTOCÓCICA, NO ESPECIFICADA",CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A41,OTRAS SEPSIS,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,3
A410,SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A411,SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A412,SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A413,SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A414,SEPSIS DEBIDA A ANAEROBIOS,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A415,SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A418,OTRAS SEPSIS ESPECIFICADAS,CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A419,"SEPSIS, NO ESPECIFICADA",CONSECUENCIA,Sepsis / choque séptico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
A480,GANGRENA GASEOSA,CONSECUENCIA,Gangrena gaseosa / choque tóxico,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,4
